"date","country","keyword","hits"
2017-11-25,"US","Rolex",2
2017-11-26,"DE","iPhone",72
2017-11-26,"DE","Tesla",5
2017-11-26,"DE","Rolex",3
2017-11-26,"FR","iPhone",51
2017-11-26,"FR","Tesla",2
2017-11-26,"FR","Rolex",2
2017-11-26,"JP","iPhone",75
2017-11-26,"JP","Tesla",1
2017-11-26,"JP","Rolex",2
2017-11-26,"MX","iPhone",82
2017-11-26,"MX","Tesla",6
2017-11-26,"MX","Rolex",0
2017-11-26,"US","iPhone",77
2017-11-26,"US","Tesla",6
2017-11-26,"US","Rolex",2
2017-11-27,"DE","iPhone",64
2017-11-27,"DE","Tesla",5
2017-11-27,"DE","Rolex",3
2017-11-27,"FR","iPhone",43
2017-11-27,"FR","Tesla",2
2017-11-27,"FR","Rolex",1
2017-11-27,"JP","iPhone",65
2017-11-27,"JP","Tesla",1
2017-11-27,"JP","Rolex",2
2017-11-27,"MX","iPhone",68
2017-11-27,"MX","Tesla",3
2017-11-27,"MX","Rolex",0
2017-11-27,"US","iPhone",64
2017-11-27,"US","Tesla",6
2017-11-27,"US","Rolex",2
2017-11-28,"DE","iPhone",58
2017-11-28,"DE","Tesla",4
2017-11-28,"DE","Rolex",3
2017-11-28,"FR","iPhone",41
2017-11-28,"FR","Tesla",2
2017-11-28,"FR","Rolex",1
2017-11-28,"JP","iPhone",62
2017-11-28,"JP","Tesla",1
2017-11-28,"JP","Rolex",2
2017-11-28,"MX","iPhone",64
2017-11-28,"MX","Tesla",4
2017-11-28,"MX","Rolex",0
2017-11-28,"US","iPhone",62
2017-11-28,"US","Tesla",6
2017-11-28,"US","Rolex",2
2017-11-29,"DE","iPhone",57
2017-11-29,"DE","Tesla",5
2017-11-29,"DE","Rolex",3
2017-11-29,"FR","iPhone",45
2017-11-29,"FR","Tesla",2
2017-11-29,"FR","Rolex",1
2017-11-29,"JP","iPhone",61
2017-11-29,"JP","Tesla",1
2017-11-29,"JP","Rolex",2
2017-11-29,"MX","iPhone",56
2017-11-29,"MX","Tesla",4
2017-11-29,"MX","Rolex",0
2017-11-29,"US","iPhone",57
2017-11-29,"US","Tesla",5
2017-11-29,"US","Rolex",2
2017-11-30,"DE","iPhone",59
2017-11-30,"DE","Tesla",5
2017-11-30,"DE","Rolex",3
2017-11-30,"FR","iPhone",41
2017-11-30,"FR","Tesla",2
2017-11-30,"FR","Rolex",1
2017-11-30,"JP","iPhone",63
2017-11-30,"JP","Tesla",1
2017-11-30,"JP","Rolex",2
2017-11-30,"MX","iPhone",63
2017-11-30,"MX","Tesla",4
2017-11-30,"MX","Rolex",0
2017-11-30,"US","iPhone",59
2017-11-30,"US","Tesla",6
2017-11-30,"US","Rolex",2
2017-12-01,"DE","iPhone",56
2017-12-01,"DE","Tesla",6
2017-12-01,"DE","Rolex",3
2017-12-01,"FR","iPhone",44
2017-12-01,"FR","Tesla",2
2017-12-01,"FR","Rolex",1
2017-12-01,"JP","iPhone",74
2017-12-01,"JP","Tesla",1
2017-12-01,"JP","Rolex",2
2017-12-01,"MX","iPhone",67
2017-12-01,"MX","Tesla",3
2017-12-01,"MX","Rolex",4
2017-12-01,"US","iPhone",61
2017-12-01,"US","Tesla",5
2017-12-01,"US","Rolex",2
2017-12-02,"DE","iPhone",80
2017-12-02,"DE","Tesla",5
2017-12-02,"DE","Rolex",3
2017-12-02,"FR","iPhone",61
2017-12-02,"FR","Tesla",2
2017-12-02,"FR","Rolex",2
2017-12-02,"JP","iPhone",100
2017-12-02,"JP","Tesla",1
2017-12-02,"JP","Rolex",2
2017-12-02,"MX","iPhone",76
2017-12-02,"MX","Tesla",0
2017-12-02,"MX","Rolex",5
2017-12-02,"US","iPhone",79
2017-12-02,"US","Tesla",6
2017-12-02,"US","Rolex",2
2017-12-03,"DE","iPhone",73
2017-12-03,"DE","Tesla",5
2017-12-03,"DE","Rolex",4
2017-12-03,"FR","iPhone",59
2017-12-03,"FR","Tesla",2
2017-12-03,"FR","Rolex",2
2017-12-03,"JP","iPhone",86
2017-12-03,"JP","Tesla",1
2017-12-03,"JP","Rolex",2
2017-12-03,"MX","iPhone",79
2017-12-03,"MX","Tesla",0
2017-12-03,"MX","Rolex",0
2017-12-03,"US","iPhone",69
2017-12-03,"US","Tesla",5
2017-12-03,"US","Rolex",2
2017-12-04,"DE","iPhone",58
2017-12-04,"DE","Tesla",6
2017-12-04,"DE","Rolex",3
2017-12-04,"FR","iPhone",48
2017-12-04,"FR","Tesla",2
2017-12-04,"FR","Rolex",2
2017-12-04,"JP","iPhone",68
2017-12-04,"JP","Tesla",1
2017-12-04,"JP","Rolex",2
2017-12-04,"MX","iPhone",72
2017-12-04,"MX","Tesla",4
2017-12-04,"MX","Rolex",0
2017-12-04,"US","iPhone",60
2017-12-04,"US","Tesla",5
2017-12-04,"US","Rolex",2
2017-12-05,"DE","iPhone",58
2017-12-05,"DE","Tesla",5
2017-12-05,"DE","Rolex",3
