Kategorie: Alle Kategorien

Tag,Donald Trump: (Vereinigte Staaten),Kendrick Lamar: (Vereinigte Staaten),Tesla: (Vereinigte Staaten),NBA: (Vereinigte Staaten),amazon: (Vereinigte Staaten)
2018-05-10,13,1,3,31,43
2018-05-11,12,1,3,18,39
2018-05-12,11,1,3,20,43
2018-05-13,10,1,3,38,42
2018-05-14,11,1,3,21,44
2018-05-15,12,1,3,41,46
2018-05-16,11,1,2,47,43
2018-05-17,13,1,2,36,42
2018-05-18,13,1,2,23,40
2018-05-19,12,1,2,27,40
2018-05-20,12,1,2,48,44
2018-05-21,11,1,3,34,42
2018-05-22,11,2,3,37,42
2018-05-23,12,1,2,40,42
2018-05-24,15,1,2,44,41
2018-05-25,13,1,2,48,41
2018-05-26,11,1,2,54,41
2018-05-27,11,1,2,67,43
2018-05-28,11,1,2,79,45
2018-05-29,12,1,2,68,43
2018-05-30,15,1,2,20,41
2018-05-31,15,1,2,27,42
2018-06-01,13,1,2,73,42
2018-06-02,11,1,2,28,43
2018-06-03,11,1,2,41,44
2018-06-04,12,1,2,58,44
2018-06-05,15,1,2,22,43
2018-06-06,14,1,3,30,42
2018-06-07,13,1,3,70,42
2018-06-08,14,1,2,28,41
2018-06-09,13,1,2,87,42
2018-06-10,16,<1,2,15,45
2018-06-11,20,<1,2,12,43
2018-06-12,32,<1,3,10,45
2018-06-13,19,<1,3,10,45
2018-06-14,19,<1,2,9,45
